press_date_at,die_number,pressing_type,plan_billet_quantities,actual_billet_quantities,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
08-20,MXS06TB-V01D,◎,5,5,210,7,203,,08-21,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-20,MXS08TB-V01D,◎,5,5,188,4,184,,08-21,,,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-19,CQ50T-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-19,CQ63T-V02C,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-18,CUJ12A-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-18,CUJ20A-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-18,CQ32T-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-18,CQ40T-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-18,SY50MP-V01D,◎,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-17,VJ30M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-17,SY30MP-V01D,〇,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-17,XLA40B2-V01B,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-17,SY30M-V01B,●,5,2,34,1,33,08-18,08-17,08-19,08-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-16,XLA25B2-V01B,●,20,24,161,5,156,08-18,08-17,08-19,08-21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-13,MXS16TB-V01D,◎,5,5,90,0,90,08-19,08-13,08-19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-13,MXS20TB-V01D,◎,5,5,109,7,102,08-19,08-13,08-19,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-12,VJ10M-V01D,◎,5,5,188,0,188,08-18,08-13,08-19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-12,SY50MP-V01D,◎,5,5,,1,,,08-13,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-11,DXT192M1-V01D,●,7,7,90,4,86,08-14,08-12,08-14,08-17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
08-11,XLA25B2-V01B,●,20,20,129,2,127,08-14,08-12,08-14,08-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-09,SY30MP-V01D,〇,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07,SY30MP-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06,SY70M-V01B,〇,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06,VJ10M-V01D,◎,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06,DXT192M1-V01D,●,7,2,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-05,VJ30M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-05,XLA40B2-V01B,〇,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-05,XLA25B2-V01B,●,14,14,91,22,69,08-06,08-06,08-11,08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
08-04,SY50M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-04,XLA25BN-V01D,●,22,22,196,13,183,08-06,08-04,08-11,08-19,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-03,MHY10B-V01D,◎,5,5,118,0,118,08-06,08-03,08-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-03,XLA25B2-V01B,●,14,14,97,18,79,08-06,08-06,08-09,08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6
08-02,VV15M1-V01D,●,4,4,62,23,39,08-02,08-03,08-07,08-13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0
08-02,SY30M-V01B,●,10,10,167,24,143,08-07,08-02,08-07,08-13,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-02,XLA25BN-V01D,●,10,14,117,7,110,08-03,08-03,08-05,08-19,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-30,SY50M-V01B,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30,SY50MP-V01D,◎,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30,APT4-V01B,◎,5,5,60,4,56,07-31,07-31,08-05,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-30,DXT192M1-V01D,●,24,24,347,6,341,08-01,07-31,08-07,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
07-29,SY30MP-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-29,VJ30M1-V01D,〇,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-29,VJ10M-V01D,◎,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-28,XLA40B2-V01B,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-28,DXT192M1-V01D,●,24,7,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-27,APT6-V01B,◎,5,5,40,0,40,08-01,07-27,08-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
